"hate_speech","counter_speech","target"
"Afrocentricity is a force of black oppression, and only perpetuates inequality.","Most cultures and ethnicities, regardless of their differences, demands respect for a person's personal life. Therefore, when it comes to identity we have to be respectful.","POC"
"Now we can't use the N-word anymore. This political correctness is killing our culture.","The N-word is an insult that is still used to demean African Americans. It has nothing to do with political correctness.","POC"
"Now we can't use the N-word anymore. This political correctness is killing our culture.","If it's a cultural issue then they should teach about the N-word only in history classes. Otherwise, it's just another excuse to justify racism.","POC"
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","All cultures have a common background that includes crimes and deviant behavior, regardless of race or ethnicity. If we stop thinking of crime in terms of races, then we can solve it.","POC"
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","Even if this were true, it does not negate that there may be racial disparities at the root of crime. I would prefer to fix the disparities rather than fan the flames of racism.","POC"
"Immigrants don't pay the tax because they are dishonest.","Their income is actually heavily taxed. To make it easier for you, we should take a look at the effective tax rate on immigrant earnings.","MIGRANTS"
"Immigrants don't pay the tax because they are dishonest.","Immigration is a source of substantial revenue to states. A study from 2002 shows that there are several immigrant groups that pay a substantially higher percentage of their income on top of the taxes they would normally be eligible for.","MIGRANTS"
"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.","Why do we have to go to such lengths to be proud of our nations? Is it a burden? Do we have to save our honour? Why can't we just be happy in our own skin?","MIGRANTS"
"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.","Perhaps we are too proud of our nations, to the point that we shame our brother-in-arms?","MIGRANTS"
"Refugees are a burden and a danger to the host country.","This is not true. Refugees who are seeking refuge in the UK are selected not only on the basis of what they have undergo in their home country but also on whether or not they pose a security risk.","MIGRANTS"
"The Nazis killed six million Jews and buried another three million. This is the West we love.","The virulent anti-Semitism of the Nazi regime has little to do with ""the West"", and everything to do with death, destruction and insanity.","JEWS"
"According to the Bible, then gays are an abomination to God.","Homosexuality has been practiced throughout history in all major civilizations. It is just that today's people accept homosexuality as normal and accept people of other backgrounds too.","LGBT+"
"All homosexuals are trying to undermine the family by trying to impose their sexual preferences.","Isn't preference a matter of individual identity, and cannot be imposed? People are just living their lives. Any sinister agenda appears to be yours.","LGBT+"
"All homosexuals are trying to undermine the family by trying to impose their sexual preferences.","Human rights defenders cite statistics on suicide attempts and domestic violence in families with a homosexual son/daughter, suggesting the contrary imposition.","LGBT+"
"All homosexuals are trying to undermine the family by trying to impose their sexual preferences.","Thus far, people of various sexual orientations have attempted suicide twice as often as heterosexuals. Among youth, the number of those that seriously contemplate suicide is almost three times the rate of heterosexuals. LGBT youth are almost five times as likely to have attempted suicide compared to heterosexual youth. Tell me honestly: who do you think is imposing sexual orientation on who?","LGBT+"
"Do you really want to redefine marriage?","If you take LGBT peoples rights into consideration, of course the practice of marriage needs to be redefined.","LGBT+"
"Do you really want to redefine marriage?","Marriage exists not only in a white supremacist context. And its definition is not only their prerogative.","LGBT+"
"LGBTs are a drain on society.","Sexual abuse, physical abuse and even the lack of security can be more harmful to the overall health of a society.","LGBT+"
"LGBTs are a drain on society.","This is a comment made about any other so-called ""different"" group of people too. So imagine, even white Christians are different for some others.","LGBT+"
"I have a feeling that if we removed the Quran from schools it would immediately go on a rampage destroying our beautiful and peaceful country.","The Quran contains references to religions from around the world and throughout history, so it is an accurate and peaceful document. It does not show a flood of violence, therefore it is not a bomb to be removed.","MUSLIMS"
"I have a feeling that if we removed the Quran from schools it would immediately go on a rampage destroying our beautiful and peaceful country.","Removing any book from public schools would be a step backwards. Censorship is a step towards indoctrination and dictatorship: I think this is a dangerous move as well. It would send a message to our children that Islam is a dangerous religion and Muslims are dangerous people.","MUSLIMS"
"Violence in our streets is niggers' fault.","I think that the problem with our society right now, is that we are too quick to focus on our differences and scapegoating people of different color, instead of focusing on our common humanity.","POC"
"Violence in our streets is niggers' fault.","Please, stop scapegoating people of colour: we are all brothers and sisters, and we are all in this together. Also people of color suffer from this violence.","POC"
"Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.","The issue of criminality is really about human nature. Individuals become criminal only when pushed. That's the difference between being a criminal and not.","POC"
"Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.","It is a myth that blacks are cruel and wanton. There are more cruel people of all skin color out there than just the few black you are worried about.","POC"
"Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.","All crimes are crimes, regardless of whether or not they are committed by members of different racial or ethnic backgrounds.","POC"
"Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.","It is not true that thieves are more likely to commit crimes if they are members of a specific racial or ethnic background.","POC"
"Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.","Criminality and corruption are not the province of any specific racial or culture group.","POC"
"Blacks are criminal. They are a threat to society.","People can and do attach undesirable characteristics to a wide variety of groups. This is quite natural when you are scared. But being natural does not mean it is correct.","POC"
"Blacks are criminal. They are a threat to society.","Not all black people are criminals. Just because a group has an undesirable name, does not mean they are all criminal.","POC"
"Blacks are criminal. They are a threat to society.","Such statements are just fear-mongering. There is no such thing as a criminal race.","POC"
"Blacks are criminal. They are a threat to society.","Look, this is important. Identifying as 'black' or 'minority' is not necessarily a marker for 'criminal'. It is about ""identifying"" with a group or subgroup for a variety of reasons. Let's be clear about this: identity is mainly about social and economic factors, not about criminal records or race.","POC"
"Immigrants are just a bunch of criminals.","This is exaclty the problem: it doesn't matter if they are from China, Russia, India or the Philippines. It doesn't matter whether their qualification or their rap sheet is lengthy or not... We treat them all like criminals regardless of who they are.","MIGRANTS"
"Immigrants are just a bunch of criminals.","There are many reasons for why a person seeks to enter our country, not necessarly to commit crimes. And there is no moral distinction between crimes committed by immigrants and the crimes committed by native born citizens.","MIGRANTS"
"Immigrants are just a bunch of criminals.","This is not true, in almost all cases they are eligible for our immigration status after passing a criminal background check.","MIGRANTS"
"I hate immigrants they are just a bunch of criminals and terrorists.","The terrorist attacks in EU have been devastating for people across the continent. The 'hated' do not feel welcome and the whole thing is deeply concerning for a host of reasons. Still, the sentiments of 'we hate foreigners' is not the solution: it is counterproductive and distorts the truth.","MIGRANTS"
"Refugees are a burden and a danger to the host country.","Refugees fleeing war and poverty can come to our country and they gain skills that help our economy grow. They often find new homes and start new careers. For this reason, we are very proud that our country is a model of integration and cooperation and also of resilience and solidarity.","MIGRANTS"
"I hate immigrants they are just a bunch of criminals and terrorists.","I can't imagine that refugees pose a threat to our citizens or our country.","MIGRANTS"
"Jews control the U.S. government.","Which evidence do you have that Jews control the U.S. government? They are rather a small but active minority within it.","JEWS"
"The Jews are always seeking to subvert everything that we hold most dear. Like the establishment of the European Union, which they view as an attack on their culture.","They don't do that! They don't want to subvert society and change its character, but simply to practice their religion peacefully.","JEWS"
"The Jews are always seeking to subvert everything that we hold most dear. Like the establishment of the European Union, which they view as an attack on their culture.","The European Union is a wonderful development, as well as an example of how to promote the integration of people with different cultures. There is no reason why Jewish people should be seeking to subvert it.","JEWS"
"Jews have a stranglehold on the American government.","Does that mean Jews as a 2,5% minority can control all levels of government? In a democratic country, we believe that every minority should be represented in the government and it guarantees that noone has total control over anything.","JEWS"
"Jews control Hollywood and the media.","If that were the case I am sure there would be more positive media portrayals of Judaism?","JEWS"
"Jews control Hollywood and the media.","Not all Jews are involved with Hollywood, some are even repulsed by it. So, why are you saying that?","JEWS"
"Holocaust is a myth. Jews are just like every other foreigner and should be despised. There is no difference.","Jews have their own unique culture, and share the history of persecution and forced conversion. They should not be despised for their religious beliefs.","JEWS"
"Holocaust is a myth. Jews are just like every other foreigner and should be despised. There is no difference.","Historians instead agree that there were in fact persecution camps.","JEWS"
"Faggots are ruining this country.","Do you think that's true? We are a country where people can live by the values set out in the US constitution, and not by fear.","LGBT+"
"Faggots are ruining this country.","It seems that you have become intolerant to homosexuals, maybe you should reflect on the reasons why you feel this way about people practicing love.","LGBT+"
"Sharia law in Britain is a disgrace and must be stopped immediately.","It is important to understand that this is a voluntary system and is not the norm. There is no hard law threatening the British population.","MUSLIMS"
"All Muslims are incompatible with any Western society.","Nonsense. Western societies are successful because they are inclusive.","MUSLIMS"
"Muslims are boring. They are all talk, no action. They speak English, but do nothing.","Do you know what the 'Muslims are boring' group has been preaching for years? They are promoting false and inflammatory stories about Muslims.","MUSLIMS"
"Muslims are boring. They are all talk, no action. They speak English, but do nothing.","A lack of information about our fellow Muslim people, their different beliefs and ways of life is a major weakness in your argumentation and should be addressed.","MUSLIMS"
"Every Muslim is a potential terrorist.","Terrorism is a problem that impacts upon us all and is not necessary related to being Muslim.","MUSLIMS"
"Muslims have no place in civilised Europe.","They have beenpart of our society and culture for centuries.. European citizens are not defined by their religion.","MUSLIMS"
"Muslims have no place in civilised Europe.","In a modern democratic society such as Europe, there must be a balance between different opinions, and respecting different beliefs.","MUSLIMS"
"All Muslims are incompatible with any Western society.","This is not true. Muslims can have a good relationship with Western societies if they are accepted as peers.","MUSLIMS"
"Islam is simply an ideology of conquest","The Qur'an is not an ideology of conquest. If you wanted to impose your religion on anyone you would rather be a fundamentalist of any culture and religion.","MUSLIMS"
"Islam is simply an ideology of conquest","The creation of Muslim communities, giving the believers a sense of identity and sense of purpose, is not the same as an ideology of conquest.","MUSLIMS"
"Every Muslim is a potential terrorist.","Muslims and terrorists are not the same. Every extremist is a potential terrorist, this doesn't have anything to do with one's specific faith.","MUSLIMS"
"Muslims have no place in civilised Europe","The whole concept of a ""civilised Europe"" as opposed to Muslims in this case, is a figment of the islamophobic imagination and therefore is totally unacceptable in the modern world.","MUSLIMS"
"Muslims are not welcome here","There are no restrictions on Muslims entering European countries. Even if many Muslims are victims of discrimination and violence through words like yours, such restrictions do not exist here.","MUSLIMS"
"Islam is a death cult and every Muslim is a potential terrorist.","Not all Muslims are extremists, just like not all Christians are good people.","MUSLIMS"
"All Muslims are incompatible with any Western society.","I am not sure you have a point. I think that a person's religious beliefs will not shape their entire capability of adapting to the society they live in.","MUSLIMS"
"Islam is not a peaceful religion, it is a cult of violence.","Which would you say is the highest ranked religion on Earth then, and on what basis? Islam is a peaceful religion, why would Muslims want to do the opposite of what their religion teaches?","MUSLIMS"
"Muslims are a burden to society.","Islam is a religion of tolerance, interdependence and social justice, not of discrimination and hostility.","MUSLIMS"
"Muslims have no place in civilised Europe.","Since when is the religious belonging of the individual a matter for democratic leaders to decide where 'the place' is for someone?","MUSLIMS"
"All Muslims are Terrorists.","Maybe it would be better to stop using Muslims as a target and subduing innocent ones, and start talking about real problems in our society, like racism and islamophobia.","MUSLIMS"
"Muslims are a problem for all other religions.","Islam is an an independent and tolerant religion, a way of life that has been adopted and encouraged by Muslim communities worldwide for thousands of years. It shouldn't be a problem to others, in which ways do you think it is?","MUSLIMS"
"Muslims are a problem for all other religions.","Muslims are not a problem to me. What do you think makes them problematic?","MUSLIMS"
"We must protect the security of the West from Islam.","It seems tou don't think the law applies to those you don't like. Laws protect Muslims and non-Muslims equally , so there is no need for you to be concerned about 'protecting the security of the West'.","MUSLIMS"
"We must protect the security of the West from Islam.","Muslims coming from abroad are subject to the same laws as citizens, which means they should be able to work, pay taxes and get on with it, even if they are not born here. I don't see these activities as a threat to 'the security of West', do you?","MUSLIMS"
"Islam is not a peaceful religion.","To assert that Islam is not peaceful is wrong. The Quran is not a white lie. It is full of statements promoting peace and inclusion. Whether you agree or not, this cannot be separated from the content of the Quran itself.","MUSLIMS"
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","If you have ever felt that way about women then perhaps you seem to be suffering from a lot of prejudices and fear.","WOMEN"
"Feminism is a set of rigid political and moral prescriptions and the result is that women are either subservient to the men in power or that they are subhuman.","Don't lie to yourself: patriarchy is a system of ideas that is oppressive and harmful to all. Feminism means to fight for equal rights for women and for men.","WOMEN"
"Feminism is a set of rigid political and moral prescriptions and the result is that women are either subservient to the men in power or that they are subhuman.","I find it hard to believe that feminism is ""rigid"" in that it doesn't prescribe doctrines through traditional rules and etiquette.","WOMEN"
"Women are basically childlike, incapable of serious thought and emotion.","For all we know, men can be born with the same emotional intelligence as women, and viceversa.","WOMEN"
"Women are basically childlike, incapable of serious thought and emotion.","Women have thoughts and emotions as well.","WOMEN"
"Blacks do more crimes than whites.","Even if 'blacks' committed more crimes, that doesn't mean that 'blacks' were inherently worse than whites, there are factors, rather than race, affecting these statistics.","POC"
"Blacks do more crimes than whites.","Even if 'blacks' committed more crimes, that doesn't mean that 'blacks' were inherently worse than whites. What's the point of statistics? Scholars have found that African Americans are disproportionately represented in the arrest and victimization reports which are used to compile crime rate statistics in the United States.","POC"
"Blacks do more crimes than whites.","Even if 'blacks' committed more crimes, that doesn't mean that 'blacks' were inherently worse than whites. What's the point you're making?","POC"
"We do not want migrants here but if they have to work, why should we pay for their homes?","Why shouldn't we welcome migrants who work in our country?","MIGRANTS"
"We do not want migrants here but if they have to work, why should we pay for their homes?","You do know that migrants make a major contributon to their the host country?","MIGRANTS"
"immigrants are a drain on society","Among the 1.1 million immigrants who entered the US in 1990 there were also a lot of skilled workers who contributed a lot to the development of our society.","MIGRANTS"
"immigrants are a drain on society","When the government entered World War II, over 300,000 foreign-born individuals called upon to be patriotic soldiers and served in the US Army in order to protect freedom from outside threats. It's unfair to think of them as second-class citizens.","MIGRANTS"
"immigrants are a drain on society","The overwhelming majority of immigrants in the US are contributing to our economy through employment. Why should we discriminate against them based on their nationality?","MIGRANTS"
"We should deport them all back to where they came from.","Immigrants come to this country legally, just as many European citizens do. They have every right to stay in this country, and to return home if they wish to.","MIGRANTS"
"We should deport them all back to where they came from.","A person's place of birth can't be evidence of their status in society. We should give everyone equal opportunities to live a dignified life, far from persecution.","MIGRANTS"
"We should deport them all back to where they came from.","It is a failed policy to deport migrants, especially those who don't pose a risk to the state. In this way, we keep out successful candidates and possible good citizens who could contribute much to our country.","MIGRANTS"
"Do you have any proof that the Holocaust ever happened?","What more proof do you need? Are living witnesses not enough?","JEWS"
"Do you have any proof that the Holocaust ever happened?","What more proof do you need? Are the ruins of the concentration camp not enough?","JEWS"
"Do you have any proof that the Holocaust ever happened?","If living witnesses are not enough, and you are interested in seeing the proof of this part of socially acknowledged history you can visit the ruins of the concentration camps, where many atrocities have been put into practice.","JEWS"
"Gays are a burden to society because of their unnatural inclination and romantic feelings.","This idea is completely untrue. The fact is that being gay does not make you a problem.","LGBT+"
"Muslims are a cancer spreading around the world.","Why should we care? We can count on the British government to promote our values and protect us from the effects of radical Islam (if this is what you had in mind).","MUSLIMS"
"Muslims have nothing to contribute to our society.","The Muslims in our country are some of the best and the brightest, providing valuable skills and knowledge to our economy.","MUSLIMS"
"All Muslims should be deported.","Islam does not pose a security risk to this country. It's the reason why the UK and the EU are not falling apart.","MUSLIMS"
"Muslims have no place in civilised Europe.","You are right: only a madman would choose to live in a country with so much hate against foreigners.","MUSLIMS"
"All Muslims are incompatible with any Western society.","Actually, they are not incompatible at all. In fact, surveys suggest Muslims are good citizens; make important contributions to society; and share culture and values of the countries they live in.","MUSLIMS"
"Islam should be abolished. They start with mutilating their daughters and then our women will have their throats slit.","You don't have to agree with this, but in Western societies female genital mutilation (FGM) has not been around for a very long time. Also, the Quran does not mention FGM nor circumcision.","MUSLIMS"
"Islam should be abolished. They start with mutilating their daughters and then our women will have their throats slit.","Do you have any facts about the practice of female genital mutilation (FGM)?","MUSLIMS"
"Muslims are a problem in my opinion. They do not want to assimilate. They do not want to assimilate into Western society.","You are not the first to point out that there are those who want to integrate and those who don't. In fact there is an unspoken harmony between Islam and Western society, similar to the harmony we see between Judaism and the Christian faith. When people are willing to accept all faiths, anybody will feel at home.","MUSLIMS"
"All Muslims should be banned from the UK.","I suspect that you have no idea about Islam. I think Muslims suffer because of misconceptions and misrepresentations of their faith and cultures","MUSLIMS"
"Islam is not a peaceful religion, Islam is violent.","Anyone who is prepared to physically harm, rape and kill fellow humans is a violent person. Not necessarly a Muslim.","MUSLIMS"
"Islam is not a peaceful religion, Islam is violent.","Violence is an aspect of radical terrorist groups. Islam is mostly practiced by peaceful Muslims.","MUSLIMS"
"Muslims should not live here because it is impossible to assimilate them.","Are you suggesting that we as a society are motivated by exclusion?","MUSLIMS"
"Muslims should not live here because it is impossible to assimilate them.","Unfortunately, some Muslims in this country feel culturally un-mixed. But, in my opinion, this is something we could all try to solve together.","MUSLIMS"
"Has Islam anything to say about how to end global warming? It is their fault.","On a more concrete level, the causes of climate change are a result of both human activities and the effects of the use of fossil fuels. To assert that there is any role for religion in this requires evidence.","MUSLIMS"
"Has Islam anything to say about how to end global warming? It is their fault.","Climate change is mainly a result of humanity's use of fossil fuels. To suggest that it is caused by a religion is a lack of understanding of the world.","MUSLIMS"
"Islam is a violent religion.","Violence is not a part of Islam. You can't say that a religion is violent without any evidence.","MUSLIMS"
"Muslims are a burden on English society.","In the UK, Muslims already make up a significant proportion of the population, making them the second most popular religion in the country. In particular, second generation Muslims are embodying the possible convergence of British culture with Islam.","MUSLIMS"
"Islam is a religion of violence.","Not all Muslims believe what you claim.","MUSLIMS"
"I cannot stand women complaining about work discrimination. Women have been legalised to work.","Yes, 66% of European women do work. But they are underpaid. The gender pay gap in Europe is around 15%. This means that on average, a man earns 15% more than a woman.","WOMEN"
"I cannot stand women complaining about work discrimination. Women have been legalised to work.","Women make up over 45% of the labour force in the UK. They should be allowed to have their say. What happened to the rule of law?","WOMEN"
"Women are weak and I don't care if they cannot stand up for themself.","You can't blame the victim for being weak. Would it have been different for you if the victim was a man?","WOMEN"
"Women should wear nice skirts and be pretty to please men's tastes and desires.","Do women really need to be told what they can or cannot wear? For many generations boys were told to wear trousers and girls to wear dresses. Does society really need to tell us all what to wear?","WOMEN"
"Women are subhuman.","I would say you've got an interesting point there, but I really don't see it. Why would they be part of society if they're subhumans?","WOMEN"
"Women are basically childlike, they remain this way most of their lives.","Of course a woman won't remain a child most of her life. Otherwise you can't call them women. Your statement just reflects the patriarchy","WOMEN"
"How come nobody is moaning about black people being lazy and unmotivated? They are the problem.","Do you think that the problem of racism is caused by black people's laziness?","POC"
"Gypsies are a bunch of thieves.","I'm not sure if you are referring to all gypsies. Generalizing in such way is wrong.","other"
"The migrants arriving in Europe are a problem.","This is not true. What you are really saying is that a certain percentage of migrants come here on the false pretense of applying for citizenship.","MIGRANTS"
"The migrants arriving in Europe are a problem.","The problem with the migrants is not in their names, but in the fact that the EU fails to integrate them.","MIGRANTS"
"Immigrants in the US are not 'legitimate' citizens because they do not have 'legal' status.","So you think that they are not 'legitimate' for having less rights than us? That they do not have a 'legitimate demand' since they are not granted citizenship?","MIGRANTS"
"Immigrants in the US are not 'legitimate' citizens because they do not have 'legal' status.","First of all, there are people in the US who have lawful status and who have chosen to live in the US. Second, most immigrants are naturalized citizens. Third, there is a lot of debate about 'legitimacy' since the values of citizenship and 'legitimacy' are very different for immigrants.","MIGRANTS"
"Children with Down Syndrome may hinder the development process of other children. They should be isolated.","Every child has the right to education.","DISABLED"
"Children with Down Syndrome may hinder the development process of other children. They should be isolated.","Education is mandatory and we are expected to offer the best education possible to our children.","DISABLED"
"People with physical disabilities are always complaining about accessibility.","Accessibility issues exist and can't be ignored, complaining is meant to help the cause.","DISABLED"
"People with physical disabilities are always complaining about accessibility.","Accessibility is important, and so is respect and equality.","DISABLED"
"To have a real democracy, the government needs to get rid of Jews.","Any government that has the power to put citizens in prison and to torture them for the crime of having a different religion can hardly bring about a 'real democracy'.","JEWS"
"To have a real democracy, the government needs to get rid of Jews.","Jews are just a scapegoat, an excuse to create more and more police states. You are talking about a ""real democracy"", but what you really want is to prevent people from freely expressing their opinions or religion.","JEWS"
"To have a real democracy, the government needs to get rid of Jews.","The police state you have in mind is an aberration of society, and we are better off without it. History and the holocaust has not taught us much.","JEWS"
"To have a real democracy, the government needs to get rid of Jews.","As long as there are people persecuted for their religious beliefs or ideas, there will never be a real democracy.","JEWS"
"Gays are sick. They should be isolated.","Isn't it antiquated attitudes like this that were the root cause of a sickness in past societies. Love knows no boundaries.","LGBT+"
"Gays are sick. They should be isolated.","Homosexuality is a sexual preference, not a disease. How can their sexual preference affect your feelings?","LGBT+"
"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.","I would never want to place any burden on my country, that is why I tell you that the vast majority of people who come to the US are legal and law-abiding citizens.","MIGRANTS"
"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.","Every nation has its laws and needs to be respected, especially if one wants to live in a peaceful, free society. From what I see Migrants are participating in this view.","MIGRANTS"
"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.","We should be proud of being a country that created the most free society in history. Still, ""with great power comes great responsibility"" and we cannot simply keep people out.","MIGRANTS"
"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.","First, I would not describe the United States as a war zone. Second, many migrants come from regions rich in cultures and history. So, why should we restrict the majority from coming here?","MIGRANTS"
"The Quran is an anti-women's book, it encourages rape and violence against women.","There is no proof that the Quran promoted violence against women.","MUSLIMS"
"The Quran is an anti-women's book, it encourages rape and violence against women.","Violence against women is an issue in all radical interpretations of religion, So why do we focus on Islam only?","MUSLIMS"
"The Koran says that men are superior to women.","Islam is not a misogynist religion. It is also not about oppressing women.","MUSLIMS"
"The Koran says that men are superior to women.","Women should be given equal rights. Not all Muslims are misogynists.","MUSLIMS"
"Muslims are just a bunch of hypocrites. They hate gays and women.","In the real world there are many hypocrites, not necessarly Muslims.","MUSLIMS"
"Muslims are just a bunch of hypocrites. They hate gays and women.","In the real world there are many hypocrites, some of them are Muslims. What do you mean by 'hating gays and women'?","MUSLIMS"
"Blacks are just an inferior bloodline to our own. We should remove them.","Human beings are members of a unique and interrelated human family, which is defined by their similarities and differences, not by the colour of their skin.","POC"
"Feminism is a political philosophy and movement that advocates the use of women's rights as a weapon against the male gender.","This is just a misogynistic and mean allegation that has no foundation in facts.","WOMEN"
"Women are little more than objects to be dominated by men.","Society has evolved: there are many people, regardless of gender, that consider women to be full members of society with full human rights.","WOMEN"
"Women are little more than objects to be dominated by men.","Women are human beings and deserve respect.","WOMEN"
"Women are little more than objects to be dominated by men.","I am tired of seeing women being treated as sex objects. It's about time that women are given the respect they deserve.","WOMEN"
"Women are subhuman.","It is not the case that women are subhuman. Women in this world are just as intelligent, compassionate, creative and religious as any man.","WOMEN"
"All Afro-Caribbean people are illegal immigrants.","It is likely that you do not know that all the countries on the planet have laws against illegal immigration, and not against Afro-Carribbean people. This may happen because to relate an illegal act to a whole ethnic group is not reliable and may be racist.","other"
"All Afro-Caribbean people are illegal immigrants.","Most countries on earth have laws against immigration. But there are no restrictions on a whole ethnic group, because there is no evidence that what you say is true.","other"
"Jews can only act in a bad way.","Even if some Jews act wrongly, many of them are good, and this simply isn't related to their religion.","JEWS"
"Jews can only behave in a bad way.","To be honest, I don't know anyone who thinks all Jews are the same with well-founded reasons.","JEWS"
"Jews can only act in a bad way.","In the real world there are good and bad Jews, just like it is for any human being.","JEWS"
"Jews can only behave in a bad way.","The problem of anti-Semitism in the UK is far from over, if you are concerned about Jewish people, maybe think about the rise of anti-Semitism instead.","JEWS"
"The Holocaust never happened.","Do you really think that the Holocaust is a myth perpetuated by the media and academic communities? That the systematic extermination of more than 6 million Jews is a myth promoted by a small minority of extreme-right wingers who profit from division and hatred?","JEWS"
"Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.","Why do you think the state needs laws to tell you which faith to profess?","JEWS"
"Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.","I would prefer that the laws were enforced for the good of a community, rather than to make it harder for people to have religious beliefs.","JEWS"
"Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.","If you would be so kind as to comply with the law, you would know that everybody has the right to practice thier religion freely, without being subject to arrest and prosecution.","JEWS"
"Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.","I think you statement simply serves to convince me that we need to make sure that laws protecting individuals' freedom are observed, rather than ignored.","JEWS"
"Sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity.","All people who engage in unprotected sexual activity are in danger of transmitting diseases. This is not a problem of homosexual people only, even if they are those being stigmatized.","LGBT+"
"Sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity.","Gonorrhea and syphilis can be prevented by practicing safe sex. And that is something that every person can do, not only homosexuals.","LGBT+"
"LGBTI people are less healthy than other people.","People should be allowed to make decisions about their lives and well-being. This is a case of of discrimination against LGBT people.","LGBT+"
"LGBTI people are less healthy than other people.","Just because people are homosexuals, it doesn't mean they are less healthy. I think there are many heterosexual people in the world who equally unhealthy.","LGBT+"
"We should start a witch hunt against those LGBT people, they are just creating troubles.","Do you really think that these people are intentionally creating trouble rather than being interested in pursuing their life as they feel it best?","LGBT+"
"This invasion is not acceptable at all!","It is up to the government to determine which people will have the opportunity to live and work in our country in a safe and integrated way. The decision on refugees should be left to who is in charge.","MIGRANTS"
"This invasion is not acceptable at all!","Refugees are welcome. They are allowed to integrate and contribute to our society.","MIGRANTS"
"This invasion is not acceptable at all!","Migrants are welcome. It is up to the government to decide which people will have the opportunity to live and work in a safe and integrated way in our country.","MIGRANTS"
"This invasion is not acceptable at all!","Many have been welcomed here, according to the law. Why should they be denied a home?","MIGRANTS"
"Immigrants steal our jobs","There are many jobs that have disappeared. This does not imply that they disappeared because of immigration.","MIGRANTS"
"Immigrants steal our jobs","Many European countries have been in recession since 2010, and this has not much to do with immigrants.","MIGRANTS"
"Refugees are a burden on society.","I don't know why they are being accused of being a ""burden"". When they come to our country to live and work, we should welcome them unconditionally.","MIGRANTS"
"Refugees are a burden on society.","We are not being ""burdened"" by refugees. Today we accept more refugees because the world population in need has increased.","MIGRANTS"
"Migrants just want to work, but don't want to pay the tax","Migrants pay the full value of their taxes as we do for our own. They are not different from us.","MIGRANTS"
"Migrants just want to work, but don't want to pay the tax","Because they are workers, they have to pay taxes like anyone else.","MIGRANTS"
"They don't understand we have mongrelization problem in this world. Our children are being groomed by migrants!","Can you think of a single example of a child being groomed by a migrant?","MIGRANTS"
"They don't understand we have mongrelization problem in this world. Our children are being groomed by migrants!","When you say that children are being groomed by foreigners, what exactly do you mean?","MIGRANTS"
"We don't want foreigners here. We should get rid of them!","Why would you want to get rid of foreigners? How would you go about that?","MIGRANTS"
"We don't want foreigners here. We should get rid of them!","You cannot ""get rid of"" foreigners since they are legal residents as you are.","MIGRANTS"
"Refugees are a problem in our country. We are overwhelmed.","Despite what you may hear, there are not many refugees in the UK, only around the 0.26%. Compared to many countries both in Europe and the Middle East, we are not that welcoming and should really be ashamed.","MIGRANTS"
"Refugees are a problem in our country. We are overwhelmed.","There have been a huge decrease in applications for asylum in UK in the last 15 years.","MIGRANTS"
"The world would be a better place without immigrants.","I don't think the world would be a better place without immigrants. From what I understand, they often bring positive changes to the world.","MIGRANTS"
"The world would be a better place without immigrants.","I would like to see the world become a better place, not a discriminatory one.","MIGRANTS"
"The world would be a better place without immigrants.","People are welcome here regardless of their nationality or country of origin, even if they do not speak the language of the place where we live.","MIGRANTS"
"migrants steal our jobs","Despite what some people may say, they are not taking our jobs, they are here to work and integrate. Migrants not only do work but can also boost the economy.","MIGRANTS"
"Bring back lynchings and death sentences to kill those migrants.","To punish people for their crimes does not mean that you have to resort to the death penalty for innocent people, just because they are coming from other countries.","MIGRANTS"
